product_price,method,product_name
$49.99,Scrapy,"Fire TV Stick 4K with Alexa Voice Remote, streaming media player"
$49.99,Scrapy,Echo Auto - Add Alexa to your car
$49.99,Scrapy,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal
$39.99,Scrapy,"Fire TV Stick with Alexa Voice Remote, streaming media player"
$99.99,Scrapy,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case"
$29.00,Scrapy,Roku Premiere | HD/4K/HDR Streaming Media Player with Simple Remote and Premium HDMI Cable
$89.99,Scrapy,Introducing Echo Show 5 – Compact smart display with Alexa - Charcoal
$59.99,Scrapy,All-new Echo Dot (3rd Gen) - Smart speaker with clock and Alexa - Sandstone
$49.99,Scrapy,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone
$49.00,Scrapy,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Power and Volume
$25.98,Scrapy,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Person Detection, Works with Alexa & the Google Assistant"
$139.00,Scrapy,"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation"
$49.99,Scrapy,Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray
$27.98,Scrapy,Roku Express | Easy High Definition (HD) Streaming Media Player (2018)
$29.00,Scrapy,Roku Express HD Streaming Media Player 2019
$99.99,Scrapy,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Pink Kid-Proof Case"
$99.99,Scrapy,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Purple Kid-Proof Case"
$299.00,Scrapy,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)
$33.90,Scrapy,Fujifilm Instax Mini Instant Film Value Pack - (60 Total Pictures)(Package may vary)
$49.99,Scrapy,Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum
$129.99,Scrapy,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Blue Kid-Proof Case"
$37.26,Scrapy,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Person Detection, Works with Alexa & the Google Assistant"
$29.00,Scrapy,Ring Rechargeable Battery Pack
$24.99,Scrapy,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device"
$99.99,Scrapy,"Ring Video Doorbell with HD Video, Motion Activated Alerts, Easy Installation - Satin Nickel"
$57.99,Scrapy,"TP-Link AC1750 Smart WiFi Router - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa, VPN Server, Parental Control&QoS(Archer A7)"
$8.94,Scrapy,"DUDE Wipes Flushable Wet Wipes Dispenser (3 Packs 48 Wipes), Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe"
$47.43,Scrapy,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Person Detection, Works with Alexa & the Google Assistant (Pack of 2)"
$129.99,Scrapy,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Pink Kid-Proof Case"
$49.99,Scrapy,"Fire 7 Tablet (7"" display, 16 GB) - Black"
$89.99,Scrapy,"Acer SB220Q bi 21.5"" Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port)"
$89.99,Scrapy,Introducing Echo Show 5 – Compact smart display with Alexa - Sandstone
$279.99,Scrapy,TCL 55S425 55 inch 4K Smart LED Roku TV (2019)
$31.99,Scrapy,"8"" Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography Compatible with iPhone Xs Max XR Android (Upgraded)"
$29.99,Scrapy,"Certified Refurbished Fire TV Stick with Alexa Voice Remote, streaming media player"
$147.98,Scrapy,"ARRIS SURFboard Docsis 3.1 Gigabit Speed Cable Modem, Approved for Cox, Spectrum and Xfinity, (SB8200 Frustration Free)"
$149.00,Scrapy,Ring Video Doorbell 2 with Echo Show 5 (Charcoal)
$179.00,Scrapy,"Ring Video Doorbell Pro, with HD Video, Motion Activated Alerts, Easy Installation (existing doorbell wiring required)"
$99.00,Scrapy,Roku Ultra Streaming Media Player 4K/HD/HDR 2019 with Premium JBL Headphones
$69.99,Scrapy,"All-New Echo Dot Kids Edition, an Echo designed for kids, with parental controls and 2 year worry-free guarantee, Rainbow"
$129.99,Scrapy,Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers
$59.99,Scrapy,"Introducing Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, White, Works with Alexa"
$6.64,Scrapy,"Scotch-Brite Non-Scratch Scrub Sponge, Cleaning Power for Everyday Jobs, 9 Scrub Sponges"
$309.94,Scrapy,"Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L"
$11.49,Scrapy,"AmazonBasics 6-Outlet Surge Protector Power Strip 2-Pack, 2-Foot Long Cord, 200 Joule - White"
$109.99,Scrapy,"HP 23.8-inch FHD IPS Monitor with Tilt/Height Adjustment (VH240a, Black)"
$84.38,Scrapy,NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) | Up to 1500 sq ft Coverage & 25 Devices | 4 x 1G Ethernet and 1 x 3.0 USB ports | Armor Security
$19.99,Scrapy,"Digital Alarm Clock, with Wooden Electronic LED Time Display, 3 Alarm Settings, Humidity & Temperature Detect, Wood Made Electric Clocks for Bedroom, Bedside, Black"
$79.99,Scrapy,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black"
$12.02,Scrapy,"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-To-Close Safety Covers, White, 14092"
